transcript_id,exon_id,rank,strand,start,end,version
ENST00000269305,ENSE00003605891,11,-1,7571720,7573008,1
ENST00000269305,ENSE00003545950,10,-1,7573927,7574033,1
ENST00000269305,ENSE00003636029,9,-1,7576853,7576926,1
ENST00000269305,ENSE00003586720,8,-1,7577019,7577155,1
ENST00000269305,ENSE00003504863,7,-1,7577499,7577608,1
ENST00000269305,ENSE00003462942,6,-1,7578177,7578289,1
ENST00000269305,ENSE00003518480,5,-1,7578371,7578554,1
ENST00000269305,ENSE00003625790,4,-1,7579312,7579590,1
ENST00000269305,ENSE00002419584,3,-1,7579700,7579721,1
ENST00000269305,ENSE00002667911,2,-1,7579839,7579940,1
ENST00000269305,ENSE00001146308,1,-1,7590695,7590856,3
ENST00000277541,ENSE00001247584,34,-1,139388896,139392010,5
ENST00000277541,ENSE00000985049,33,-1,139393351,139393448,1
ENST00000277541,ENSE00000985048,32,-1,139393564,139393711,1
ENST00000277541,ENSE00000985047,31,-1,139395004,139395299,1
ENST00000277541,ENSE00000985046,30,-1,139396200,139396365,1
ENST00000277541,ENSE00000985045,29,-1,139396453,139396540,1
ENST00000277541,ENSE00000985044,28,-1,139396724,139396940,1
ENST00000277541,ENSE00003681600,27,-1,139397634,139397782,1
ENST00000277541,ENSE00000985042,26,-1,139399125,139399556,1
ENST00000277541,ENSE00000985041,25,-1,139399762,139400333,1
ENST00000277541,ENSE00000985040,24,-1,139400979,139401091,1
ENST00000277541,ENSE00000985039,23,-1,139401168,139401425,1
ENST00000277541,ENSE00000985038,22,-1,139401757,139401889,1
ENST00000277541,ENSE00000985037,21,-1,139402407,139402591,1
ENST00000277541,ENSE00000985036,20,-1,139402684,139402837,1
ENST00000277541,ENSE00000985035,19,-1,139403322,139403523,1
ENST00000277541,ENSE00000985034,18,-1,139404185,139404413,1
ENST00000277541,ENSE00000985033,17,-1,139405105,139405257,3
ENST00000277541,ENSE00000985032,16,-1,139405604,139405723,1
ENST00000277541,ENSE00000985031,15,-1,139407473,139407586,1
ENST00000277541,ENSE00000985030,14,-1,139407844,139407989,1
ENST00000277541,ENSE00000985029,13,-1,139408962,139409154,1
ENST00000277541,ENSE00000985028,12,-1,139409742,139409852,1
ENST00000277541,ENSE00000985027,11,-1,139409935,139410168,1
ENST00000277541,ENSE00000985026,10,-1,139410433,139410546,1
ENST00000277541,ENSE00000985025,9,-1,139411724,139411837,1
ENST00000277541,ENSE00000985024,8,-1,139412204,139412389,1
ENST00000277541,ENSE00000985023,7,-1,139412589,139412744,1
ENST00000277541,ENSE00000985022,6,-1,139413043,139413276,1
ENST00000277541,ENSE00001378880,5,-1,139413895,139414017,1
ENST00000277541,ENSE00000985020,4,-1,139417302,139417640,1
ENST00000277541,ENSE00001042401,3,-1,139418169,139418431,1
ENST00000277541,ENSE00001124718,2,-1,139438476,139438554,1
ENST00000277541,ENSE00001247593,1,-1,139440178,139440314,3
ENST00000309486,ENSE00001312675,22,-1,41196313,41197819,5
ENST00000309486,ENSE00003687053,21,-1,41199660,41199720,1
ENST00000309486,ENSE00003628864,20,-1,41201138,41201211,1
ENST00000309486,ENSE00003477922,19,-1,41203080,41203134,1
ENST00000309486,ENSE00003458468,18,-1,41209069,41209152,1
ENST00000309486,ENSE00003672792,17,-1,41215350,41215390,1
ENST00000309486,ENSE00003591784,16,-1,41215891,41215968,1
ENST00000309486,ENSE00003492626,15,-1,41219625,41219712,1
ENST00000309486,ENSE00003497952,14,-1,41222945,41223255,1
ENST00000309486,ENSE00003537850,13,-1,41226348,41226538,1
ENST00000309486,ENSE00003484886,12,-1,41228505,41228631,1
ENST00000309486,ENSE00003527960,11,-1,41234421,41234592,1
ENST00000309486,ENSE00003547126,10,-1,41242961,41243049,1
ENST00000309486,ENSE00003549219,9,-1,41243452,41246877,1
ENST00000309486,ENSE00003518965,8,-1,41247863,41247939,1
ENST00000309486,ENSE00003673367,7,-1,41249261,41249306,1
ENST00000309486,ENSE00003501023,6,-1,41251792,41251897,1
